Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
AT10 | MGTREFCLK0N_225                      | MGTREFCLK0N_225                      | NC                                   | NC                                  
AT11 | MGTREFCLK0P_225                      | MGTREFCLK0P_225                      | NC                                   | NC                                  
AT12 | GND                                  | GND                                  | GND                                  | GND                                 
AT13 | IO_T3U_N12_67                        | IO_T3U_N12_67                        | NC                                   | NC                                  
AT14 | IO_T2U_N12_67                        | IO_T2U_N12_67                        | NC                                   | NC                                  
AT15 | IO_L17P_T2U_N8_AD10P_67              | IO_L17P_T2U_N8_AD10P_67              | VHDCI_DATA_OUT_P                     | VHDCI_DATA_OUT_P<6>                 
AT16 | GND                                  | GND                                  | GND                                  | GND                                 
AT17 | IO_L16N_T2U_N7_QBC_AD3N_66           | IO_L16N_T2U_N7_QBC_AD3N_66           | Z2T_AXI_D                            | Z2T_AXI_D<16>                       
AJ18 | DXN                                  | DXN                                  | TEMP_DXN                             | TEMP_DXN                            
AJ19 | DXP                                  | DXP                                  | TEMP_DXP                             | TEMP_DXP                            
BB44 | GND                                  | GND                                  | GND                                  | GND                                 
BB45 | GND                                  | GND                                  | GND                                  | GND                                 
BB46 | GND                                  | GND                                  | GND                                  | GND                                 
BB40 | GND                                  | GND                                  | GND                                  | GND                                 
BB41 | GND                                  | GND                                  | GND                                  | GND                                 
BB42 | MGTYTXP2_124                         | MGTYTXP2_124                         | NC                                   | NC                                  
BB43 | MGTYTXN2_124                         | MGTYTXN2_124                         | NC                                   | NC                                  
AU24 | IO_L18N_T2U_N11_AD2N_84              | IO_L18N_T2U_N11_AD2N_84              | TRP_TP_A_N                           | TRP_TP_A_N                          
AU25 | IO_T2U_N12_CSI_ADV_B_65              | IO_T2U_N12_CSI_ADV_B_65              | NC                                   | NC                                  
AU26 | IO_L15P_T2L_N4_AD11P_A02_D18_65      | IO_L15P_T2L_N4_AD11P_A02_D18_65      | ZYQ_TRP                              | ZYQ_TRP<6>                          
AU27 | IO_L15N_T2L_N5_AD11N_A03_D19_65      | IO_L15N_T2L_N5_AD11N_A03_D19_65      | ZYQ_TRP                              | ZYQ_TRP<7>                          
AU20 | IO_L14N_T2L_N3_GC_66                 | IO_L14N_T2L_N3_GC_66                 | Z2T_AXI_D                            | Z2T_AXI_D<20>                       
AU21 | IO_T2U_N12_66                        | IO_T2U_N12_66                        | NC                                   | NC                                  
AU22 | IO_L15P_T2L_N4_AD11P_84              | IO_L15P_T2L_N4_AD11P_84              | NC                                   | NC                                  
AU23 | GND                                  | GND                                  | GND                                  | GND                                 
AU28 | VCCO_65                              | VCCO_65                              | P1V8                                 | P1V8                                
AU29 | IO_L16P_T2U_N6_QBC_AD3P_44           | IO_L16P_T2U_N6_QBC_AD3P_44           | TRP_DDR_DQS_P                        | TRP_DDR_DQS_P<2>                    
AJ16 | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
AJ17 | GND                                  | GND                                  | GND                                  | GND                                 
H46  | GND                                  | GND                                  | GND                                  | GND                                 
H45  | GND                                  | GND                                  | GND                                  | GND                                 
H42  | GND                                  | GND                                  | GND                                  | GND                                 
H41  | GND                                  | GND                                  | GND                                  | GND                                 
H40  | MGTAVTT_LN                           | MGTAVTT_LN                           | P1V2B                                | P1V2B                               
AK19 | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
AK18 | GND                                  | GND                                  | GND                                  | GND                                 
AN45 | MGTYRXP0_126                         | MGTYRXP0_126                         | C2T_GT_N                             | C2T_GT_N<4>                         
AK16 | GND                                  | GND                                  | GND                                  | GND                                 
AK15 | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
AN46 | MGTYRXN0_126                         | MGTYRXN0_126                         | C2T_GT_P                             | C2T_GT_P<4>                         
AN41 | MGTYTXN0_126                         | MGTYTXN0_126                         | NC                                   | NC                                  
AK12 | D00_MOSI_0                           | D00_MOSI_0                           | NC                                   | NC                                  
AK11 | MGTREFCLK1P_226                      | MGTREFCLK1P_226                      | NC                                   | NC                                  
AK10 | MGTREFCLK1N_226                      | MGTREFCLK1N_226                      | NC                                   | NC                                  
AR41 | MGTYTXN2_125                         | MGTYTXN2_125                         | NC                                   | NC                                  
AR40 | MGTYTXP2_125                         | MGTYTXP2_125                         | NC                                   | NC                                  
AR43 | GND                                  | GND                                  | GND                                  | GND                                 
AR42 | GND                                  | GND                                  | GND                                  | GND                                 
