%#################################################################
Title:        Basenet Report
Design:       lasp
Date:         Mar 26 12:09:23 2021
%#################################################################


%
Base nets and synonyms for lasp_lib.LASP(@lasp_lib.lasp(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
EXT_CLK_MX_P        	EXT_CLK_MX_P - @lasp_lib.LASP                               	 24C4 27C6                    
EXT_CLK_SX_N        	EXT_CLK_SX_N - @lasp_lib.LASP                               	 24C4 26C6                    
EXT_CLK_SX_P        	EXT_CLK_SX_P - @lasp_lib.LASP                               	 24C4 26C6                    
EXT_STROBE_MX_N     	EXT_STROBE_MX_N - @lasp_lib.LASP                            	 30B5 32C4                    
EXT_STROBE_MX_P     	EXT_STROBE_MX_P - @lasp_lib.LASP                            	 30B5 32C4                    
EXT_STROBE_RTM_N    	EXT_STROBE_RTM_N - @lasp_lib.LASP                           	 7B3 32C4                     
EXT_STROBE_RTM_P    	EXT_STROBE_RTM_P - @lasp_lib.LASP                           	 7A3 32C4                     
EXT_STROBE_SX_N     	EXT_STROBE_SX_N - @lasp_lib.LASP                            	 29C5 32C4                    
EXT_STROBE_SX_P     	EXT_STROBE_SX_P - @lasp_lib.LASP                            	 29C5 32C4                    
EXT_STROBE_TEST_N   	EXT_STROBE_TEST_N - @lasp_lib.LASP                          	 32C4                         
EXT_STROBE_TEST_P   	EXT_STROBE_TEST_P - @lasp_lib.LASP                          	 32C4                         
FEB_MX_L_N<0>       	FEB_MX_L_N<0> - @lasp_lib.LASP                              	 56C2 59B1                    
FEB_MX_L_N<1>       	FEB_MX_L_N<1> - @lasp_lib.LASP                              	 56C2 59B1                    
FEB_MX_L_N<2>       	FEB_MX_L_N<2> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_N<3>       	FEB_MX_L_N<3> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_N<4>       	FEB_MX_L_N<4> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_N<5>       	FEB_MX_L_N<5> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_N<6>       	FEB_MX_L_N<6> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_N<7>       	FEB_MX_L_N<7> - @lasp_lib.LASP                              	 56B2 59D1                    
FEB_MX_L_N<8>       	FEB_MX_L_N<8> - @lasp_lib.LASP                              	 56C3 59B3                    
FEB_MX_L_N<9>       	FEB_MX_L_N<9> - @lasp_lib.LASP                              	 56B3 59B3                    
FEB_MX_L_N<10>      	FEB_MX_L_N<10> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_N<11>      	FEB_MX_L_N<11> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_N<12>      	FEB_MX_L_N<12> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_N<13>      	FEB_MX_L_N<13> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_N<14>      	FEB_MX_L_N<14> - @lasp_lib.LASP                             	 56B3 59C3                    
FEB_MX_L_N<15>      	FEB_MX_L_N<15> - @lasp_lib.LASP                             	 56B3 59C3                    
FEB_MX_L_N<16>      	FEB_MX_L_N<16> - @lasp_lib.LASP                             	 56A3 59C3                    
FEB_MX_L_N<17>      	FEB_MX_L_N<17> - @lasp_lib.LASP                             	 56A3 59C3                    
FEB_MX_L_N<18>      	FEB_MX_L_N<18> - @lasp_lib.LASP                             	 56A3 59C3                    
FEB_MX_L_N<19>      	FEB_MX_L_N<19> - @lasp_lib.LASP                             	 56A3 59D3                    
FEB_MX_L_N<20>      	FEB_MX_L_N<20> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_N<21>      	FEB_MX_L_N<21> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_N<22>      	FEB_MX_L_N<22> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_N<23>      	FEB_MX_L_N<23> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_N<24>      	FEB_MX_L_N<24> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_N<25>      	FEB_MX_L_N<25> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_N<26>      	FEB_MX_L_N<26> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_N<27>      	FEB_MX_L_N<27> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_N<28>      	FEB_MX_L_N<28> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_N<29>      	FEB_MX_L_N<29> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_N<30>      	FEB_MX_L_N<30> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_N<31>      	FEB_MX_L_N<31> - @lasp_lib.LASP                             	 56B5 59D4                    
FEB_MX_L_N<32>      	FEB_MX_L_N<32> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_N<33>      	FEB_MX_L_N<33> - @lasp_lib.LASP                             	 56C6 59B6                    
FEB_MX_L_N<34>      	FEB_MX_L_N<34> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_N<35>      	FEB_MX_L_N<35> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_N<36>      	FEB_MX_L_N<36> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_N<37>      	FEB_MX_L_N<37> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_N<38>      	FEB_MX_L_N<38> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_N<39>      	FEB_MX_L_N<39> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_N<40>      	FEB_MX_L_N<40> - @lasp_lib.LASP                             	 56A6 59C6                    
FEB_MX_L_N<41>      	FEB_MX_L_N<41> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_N<42>      	FEB_MX_L_N<42> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_N<43>      	FEB_MX_L_N<43> - @lasp_lib.LASP                             	 56A6 59D6                    
FEB_MX_L_P<0>       	FEB_MX_L_P<0> - @lasp_lib.LASP                              	 56C2 59B1                    
FEB_MX_L_P<1>       	FEB_MX_L_P<1> - @lasp_lib.LASP                              	 56C2 59B1                    
FEB_MX_L_P<2>       	FEB_MX_L_P<2> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_P<3>       	FEB_MX_L_P<3> - @lasp_lib.LASP                              	 56C2 59C1                    
FEB_MX_L_P<4>       	FEB_MX_L_P<4> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_P<5>       	FEB_MX_L_P<5> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_P<6>       	FEB_MX_L_P<6> - @lasp_lib.LASP                              	 56B2 59C1                    
FEB_MX_L_P<7>       	FEB_MX_L_P<7> - @lasp_lib.LASP                              	 56B2 59D1                    
FEB_MX_L_P<8>       	FEB_MX_L_P<8> - @lasp_lib.LASP                              	 56C3 59B3                    
FEB_MX_L_P<9>       	FEB_MX_L_P<9> - @lasp_lib.LASP                              	 56B3 59B3                    
FEB_MX_L_P<10>      	FEB_MX_L_P<10> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_P<11>      	FEB_MX_L_P<11> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_P<12>      	FEB_MX_L_P<12> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_P<13>      	FEB_MX_L_P<13> - @lasp_lib.LASP                             	 56B3 59B3                    
FEB_MX_L_P<14>      	FEB_MX_L_P<14> - @lasp_lib.LASP                             	 56B3 59C3                    
FEB_MX_L_P<15>      	FEB_MX_L_P<15> - @lasp_lib.LASP                             	 56B3 59C3                    
FEB_MX_L_P<16>      	FEB_MX_L_P<16> - @lasp_lib.LASP                             	 56A3 59C3                    
FEB_MX_L_P<17>      	FEB_MX_L_P<17> - @lasp_lib.LASP                             	 56A3 59C3                    
FEB_MX_L_P<18>      	FEB_MX_L_P<18> - @lasp_lib.LASP                             	 56A3 59C3                    
FEB_MX_L_P<19>      	FEB_MX_L_P<19> - @lasp_lib.LASP                             	 56A3 59D3                    
FEB_MX_L_P<20>      	FEB_MX_L_P<20> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_P<21>      	FEB_MX_L_P<21> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_P<22>      	FEB_MX_L_P<22> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_P<23>      	FEB_MX_L_P<23> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_P<24>      	FEB_MX_L_P<24> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_P<25>      	FEB_MX_L_P<25> - @lasp_lib.LASP                             	 56C5 59B4                    
FEB_MX_L_P<26>      	FEB_MX_L_P<26> - @lasp_lib.LASP                             	 56C5 59C4                    
FEB_MX_L_P<27>      	FEB_MX_L_P<27> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_P<28>      	FEB_MX_L_P<28> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_P<29>      	FEB_MX_L_P<29> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_P<30>      	FEB_MX_L_P<30> - @lasp_lib.LASP                             	 56B5 59C4                    
FEB_MX_L_P<31>      	FEB_MX_L_P<31> - @lasp_lib.LASP                             	 56B5 59D4                    
FEB_MX_L_P<32>      	FEB_MX_L_P<32> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_P<33>      	FEB_MX_L_P<33> - @lasp_lib.LASP                             	 56C6 59B6                    
FEB_MX_L_P<34>      	FEB_MX_L_P<34> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_P<35>      	FEB_MX_L_P<35> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_P<36>      	FEB_MX_L_P<36> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_P<37>      	FEB_MX_L_P<37> - @lasp_lib.LASP                             	 56B6 59B6                    
FEB_MX_L_P<38>      	FEB_MX_L_P<38> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_P<39>      	FEB_MX_L_P<39> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_P<40>      	FEB_MX_L_P<40> - @lasp_lib.LASP                             	 56A6 59C6                    
FEB_MX_L_P<41>      	FEB_MX_L_P<41> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_P<42>      	FEB_MX_L_P<42> - @lasp_lib.LASP                             	 55B2 59C6                    
FEB_MX_L_P<43>      	FEB_MX_L_P<43> - @lasp_lib.LASP                             	 56A6 59D6                    
FEB_MX_R_N<0>       	FEB_MX_R_N<0> - @lasp_lib.LASP                              	 57C2 60B1                    
FEB_MX_R_N<1>       	FEB_MX_R_N<1> - @lasp_lib.LASP                              	 57C2 60B1                    
FEB_MX_R_N<2>       	FEB_MX_R_N<2> - @lasp_lib.LASP                              	 57B2 60C1                    
FEB_MX_R_N<3>       	FEB_MX_R_N<3> - @lasp_lib.LASP                              	 57C2 60C1                    
FEB_MX_R_N<4>       	FEB_MX_R_N<4> - @lasp_lib.LASP                              	 57B2 60C1                    
FEB_MX_R_N<5>       	FEB_MX_R_N<5> - @lasp_lib.LASP                              	 57B2 60C1                    
FEB_MX_R_N<6>       	FEB_MX_R_N<6> - @lasp_lib.LASP                              	 57B2 60C1                    
FEB_MX_R_N<7>       	FEB_MX_R_N<7> - @lasp_lib.LASP                              	 57B2 60C1                    
FEB_MX_R_N<8>       	FEB_MX_R_N<8> - @lasp_lib.LASP                              	 57B3 60B3                    
FEB_MX_R_N<9>       	FEB_MX_R_N<9> - @lasp_lib.LASP                              	 57B3 60B3                    
FEB_MX_R_N<10>      	FEB_MX_R_N<10> - @lasp_lib.LASP                             	 57B3 60B3                    
FEB_MX_R_N<11>      	FEB_MX_R_N<11> - @lasp_lib.LASP                             	 57B3 60B3                    
FEB_MX_R_N<12>      	FEB_MX_R_N<12> - @lasp_lib.LASP                             	 57C3 60B3                    
FEB_MX_R_N<13>      	FEB_MX_R_N<13> - @lasp_lib.LASP                             	 57B3 60B3                    
FEB_MX_R_N<14>      	FEB_MX_R_N<14> - @lasp_lib.LASP                             	 57A3 60C3                    
FEB_MX_R_N<15>      	FEB_MX_R_N<15> - @lasp_lib.LASP                             	 57A3 60C3                    
FEB_MX_R_N<16>      	FEB_MX_R_N<16> - @lasp_lib.LASP                             	 57A3 60C3                    
