%#################################################################
Title:        Basenet Report
Design:       lasp
Date:         Mar 26 12:09:23 2021
%#################################################################


%
Base nets and synonyms for lasp_lib.LASP(@lasp_lib.lasp(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
                    	LS05_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 129A6<                       
SX_LS06_FPGA_OE     	SX_LS06_FPGA_OE - @lasp_lib.LASP                            	 74C6 78B6                    
                    	LS06_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 129B3<                       
SX_LS07_FPGA_OE     	SX_LS07_FPGA_OE - @lasp_lib.LASP                            	 74D3 78B6                    
                    	LS07_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 130D6<                       
SX_LS08_FPGA_OE     	SX_LS08_FPGA_OE - @lasp_lib.LASP                            	 74D3 78B6                    
                    	LS08_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 130D3<                       
SX_LS09_FPGA_OE     	SX_LS09_FPGA_OE - @lasp_lib.LASP                            	 74C3 78B6                    
                    	LS09_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 130C6<                       
SX_LS10_FPGA_OE     	SX_LS10_FPGA_OE - @lasp_lib.LASP                            	 74C3 78B6                    
                    	LS10_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 130C3<                       
SX_LS11_FPGA_OE     	SX_LS11_FPGA_OE - @lasp_lib.LASP                            	 74C3 78B6                    
                    	LS11_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 130A6<                       
SX_LS12_FPGA_OE     	SX_LS12_FPGA_OE - @lasp_lib.LASP                            	 74C3 78B6                    
                    	LS12_FPGA_OE - @lasp_lib.FIREFLY(i7_page13)                 	 130A3<                       
SX_MAX10_EN_N       	SX_MAX10_EN_N - @lasp_lib.LASP                              	 49D2 50B5                    
SX_MSEL0            	SX_MSEL0 - @lasp_lib.LASP                                   	 69B2 69C3 69D3               
SX_MSEL1            	SX_MSEL1 - @lasp_lib.LASP                                   	 69C4 69D3                    
SX_MSEL2            	SX_MSEL2 - @lasp_lib.LASP                                   	 69C4 69D3                    
SX_NO_CONNECT_N<0>  	SX_NO_CONNECT_N<0> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_N<1>  	SX_NO_CONNECT_N<1> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_N<2>  	SX_NO_CONNECT_N<2> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_N<3>  	SX_NO_CONNECT_N<3> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_N<4>  	SX_NO_CONNECT_N<4> - @lasp_lib.LASP                         	 76B2                         
SX_NO_CONNECT_N<5>  	SX_NO_CONNECT_N<5> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_N<6>  	SX_NO_CONNECT_N<6> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_N<7>  	SX_NO_CONNECT_N<7> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_N<8>  	SX_NO_CONNECT_N<8> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_P<0>  	SX_NO_CONNECT_P<0> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_P<1>  	SX_NO_CONNECT_P<1> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_P<2>  	SX_NO_CONNECT_P<2> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_P<3>  	SX_NO_CONNECT_P<3> - @lasp_lib.LASP                         	 76C6                         
SX_NO_CONNECT_P<4>  	SX_NO_CONNECT_P<4> - @lasp_lib.LASP                         	 76B2                         
SX_NO_CONNECT_P<5>  	SX_NO_CONNECT_P<5> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_P<6>  	SX_NO_CONNECT_P<6> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_P<7>  	SX_NO_CONNECT_P<7> - @lasp_lib.LASP                         	 77C2                         
SX_NO_CONNECT_P<8>  	SX_NO_CONNECT_P<8> - @lasp_lib.LASP                         	 77C2                         
SX_ON_OFF_N         	SX_ON_OFF_N - @lasp_lib.LASP                                	 12B4 13C6                    
SX_OVERTEMPN        	SX_OVERTEMPN - @lasp_lib.LASP                               	 48B3 69A3 69C5               
SX_P1_8V_EM2130H_POK	SX_P1_8V_EM2130H_POK - @lasp_lib.LASP                       	 48A3 62B5                    
                    	P1_8V_EM2130H_POK - @lasp_lib.ALIMS(i1_page7)               	 111A4> 111C5                 
SX_P2_5V_DDR4_POK   	SX_P2_5V_DDR4_POK - @lasp_lib.LASP                          	 48A3 62B4                    
                    	S10_P2_5V_DDR4_POK - @lasp_lib.ALIMS(i1_page7)              	 117C3>                       
SX_P2_5V_DIV_M      	SX_P2_5V_DIV_M - @lasp_lib.LASP                             	 9C1 9C5                      
SX_P2_5V_M          	SX_P2_5V_M - @lasp_lib.LASP                                 	 9C1 62B4                     
                    	S10_P2_5V_DDR4_OUT_M - @lasp_lib.ALIMS(i1_page7)            	 117C1>                       
SX_P3_3V_EM2130H_POK	SX_P3_3V_EM2130H_POK - @lasp_lib.LASP                       	 48B3 62B5                    
                    	P3_3V_EM2130H_POK - @lasp_lib.ALIMS(i1_page7)               	 106A4> 106C5                 
SX_PG3_N            	SX_PG3_N - @lasp_lib.LASP                                   	 5B5 5C2 12B4                 
SX_PG12_N           	SX_PG12_N - @lasp_lib.LASP                                  	 5B6 5C2 12B4                 
SX_PLL_LEMO_OUT     	SX_PLL_LEMO_OUT - @lasp_lib.LASP                            	 28A4                         
SX_PLL_LEMO_OUT_N   	SX_PLL_LEMO_OUT_N - @lasp_lib.LASP                          	 28A6 29B3                    
SX_PLL_LEMO_OUT_P   	SX_PLL_LEMO_OUT_P - @lasp_lib.LASP                          	 28A6 29B3                    
SX_POWER_EN         	SX_POWER_EN - @lasp_lib.LASP                                	 13C4 49D3                    
SX_POWER_EN_N       	SX_POWER_EN_N - @lasp_lib.LASP                              	 13C5                         
SX_PS_ALERTN        	SX_PS_ALERTN - @lasp_lib.LASP                               	 48C3 62B5                    
                    	EN_ALERTN - @lasp_lib.ALIMS(i1_page7)                       	 104A5> 106C6 111C6           
SX_REFCLK_641_OUT0_N	SX_REFCLK_641_OUT0_N - @lasp_lib.LASP                       	 26C1 80C4                    
SX_REFCLK_641_OUT0_P	SX_REFCLK_641_OUT0_P - @lasp_lib.LASP                       	 26C1 80C4                    
SX_REFCLK_641_OUT1_N	SX_REFCLK_641_OUT1_N - @lasp_lib.LASP                       	 26D1 80D6                    
SX_REFCLK_641_OUT1_P	SX_REFCLK_641_OUT1_P - @lasp_lib.LASP                       	 26D1 80D6                    
SX_REFCLK_641_OUT2_N	SX_REFCLK_641_OUT2_N - @lasp_lib.LASP                       	 26C1 80A6                    
SX_REFCLK_641_OUT2_P	SX_REFCLK_641_OUT2_P - @lasp_lib.LASP                       	 26C1 80A6                    
SX_REFCLK_641_OUT3_N	SX_REFCLK_641_OUT3_N - @lasp_lib.LASP                       	 26D1 80C1                    
SX_REFCLK_641_OUT3_P	SX_REFCLK_641_OUT3_P - @lasp_lib.LASP                       	 26D1 80C1                    
SX_REFCLK_641_OUT4_N	SX_REFCLK_641_OUT4_N - @lasp_lib.LASP                       	 26D1 80D3                    
SX_REFCLK_641_OUT4_P	SX_REFCLK_641_OUT4_P - @lasp_lib.LASP                       	 26D1 80D3                    
SX_REFCLK_641_OUT5_N	SX_REFCLK_641_OUT5_N - @lasp_lib.LASP                       	 26C1 81D1                    
SX_REFCLK_641_OUT5_P	SX_REFCLK_641_OUT5_P - @lasp_lib.LASP                       	 26C1 81D1                    
SX_REFCLK_641_OUT6_N	SX_REFCLK_641_OUT6_N - @lasp_lib.LASP                       	 26C1 81C4                    
SX_REFCLK_641_OUT6_P	SX_REFCLK_641_OUT6_P - @lasp_lib.LASP                       	 26C1 81C4                    
SX_REFCLK_641_OUT7_N	SX_REFCLK_641_OUT7_N - @lasp_lib.LASP                       	 26B1 81B4                    
SX_REFCLK_641_OUT7_P	SX_REFCLK_641_OUT7_P - @lasp_lib.LASP                       	 26B1 81B4                    
SX_RESET_N          	SX_RESET_N - @lasp_lib.LASP                                 	 50B4 79B6                    
SX_RX_B04_N<0>      	SX_RX_B04_N<0> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_N<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_N<0..3>   	SX_RX_B04_N<0..3> - @lasp_lib.LASP                          	 74A3                         
                    	RX_B04_N<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_N<1>      	SX_RX_B04_N<1> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_N<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_N<2>      	SX_RX_B04_N<2> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_N<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_N<3>      	SX_RX_B04_N<3> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_N<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_P<0>      	SX_RX_B04_P<0> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_P<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_P<0..3>   	SX_RX_B04_P<0..3> - @lasp_lib.LASP                          	 74A3                         
                    	RX_B04_P<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_P<1>      	SX_RX_B04_P<1> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_P<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_P<2>      	SX_RX_B04_P<2> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_P<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_B04_P<3>      	SX_RX_B04_P<3> - @lasp_lib.LASP                             	 75B4                         
                    	RX_B04_P<0..3> - @lasp_lib.FIREFLY(i7_page13)               	 135C2>                       
SX_RX_G1_F01_INTL   	SX_RX_G1_F01_INTL - @lasp_lib.LASP                          	 74C6 79B4                    
                    	RX_FFLY_GROUP1_F01_INTL - @lasp_lib.FIREFLY(i7_page13)      	 129C6>                       
SX_RX_G1_F01_N<0>   	SX_RX_G1_F01_N<0> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<0..11>	SX_RX_G1_F01_N<0..11> - @lasp_lib.LASP                      	 74C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<1>   	SX_RX_G1_F01_N<1> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<2>   	SX_RX_G1_F01_N<2> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<3>   	SX_RX_G1_F01_N<3> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<4>   	SX_RX_G1_F01_N<4> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<5>   	SX_RX_G1_F01_N<5> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<6>   	SX_RX_G1_F01_N<6> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<7>   	SX_RX_G1_F01_N<7> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<8>   	SX_RX_G1_F01_N<8> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<9>   	SX_RX_G1_F01_N<9> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<10>  	SX_RX_G1_F01_N<10> - @lasp_lib.LASP                         	 76B6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_N<11>  	SX_RX_G1_F01_N<11> - @lasp_lib.LASP                         	 76B6                         
                    	RX_G1_F01_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<0>   	SX_RX_G1_F01_P<0> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<0..11>	SX_RX_G1_F01_P<0..11> - @lasp_lib.LASP                      	 74C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<1>   	SX_RX_G1_F01_P<1> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<2>   	SX_RX_G1_F01_P<2> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<3>   	SX_RX_G1_F01_P<3> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<4>   	SX_RX_G1_F01_P<4> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<5>   	SX_RX_G1_F01_P<5> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<6>   	SX_RX_G1_F01_P<6> - @lasp_lib.LASP                          	 76C6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<7>   	SX_RX_G1_F01_P<7> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<8>   	SX_RX_G1_F01_P<8> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<9>   	SX_RX_G1_F01_P<9> - @lasp_lib.LASP                          	 76B6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<10>  	SX_RX_G1_F01_P<10> - @lasp_lib.LASP                         	 76B6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_P<11>  	SX_RX_G1_F01_P<11> - @lasp_lib.LASP                         	 76B6                         
                    	RX_G1_F01_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D4>                       
SX_RX_G1_F01_PRESENTL	SX_RX_G1_F01_PRESENTL - @lasp_lib.LASP                      	 74C6 79B4                    
                    	RX_FFLY_GROUP1_F01_PRESENTL - @lasp_lib.FIREFLY(i7_page13)  	 129C6>                       
SX_RX_G1_F01_RESETL 	SX_RX_G1_F01_RESETL - @lasp_lib.LASP                        	 74C6 79B4                    
                    	RX_FFLY_GROUP1_F01_RESETL - @lasp_lib.FIREFLY(i7_page13)    	 129C6<                       
SX_RX_G1_F01_SELECTL	SX_RX_G1_F01_SELECTL - @lasp_lib.LASP                       	 74C6 79B4                    
                    	RX_FFLY_GROUP1_F01_SELECTL - @lasp_lib.FIREFLY(i7_page13)   	 129C6<                       
SX_RX_G1_F02_INTL   	SX_RX_G1_F02_INTL - @lasp_lib.LASP                          	 74C6 79B6                    
                    	RX_FFLY_GROUP1_F02_INTL - @lasp_lib.FIREFLY(i7_page13)      	 129C3>                       
SX_RX_G1_F02_N<0>   	SX_RX_G1_F02_N<0> - @lasp_lib.LASP                          	 76C4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<0..11>	SX_RX_G1_F02_N<0..11> - @lasp_lib.LASP                      	 74C6                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<1>   	SX_RX_G1_F02_N<1> - @lasp_lib.LASP                          	 76C4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<2>   	SX_RX_G1_F02_N<2> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<3>   	SX_RX_G1_F02_N<3> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<4>   	SX_RX_G1_F02_N<4> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<5>   	SX_RX_G1_F02_N<5> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<6>   	SX_RX_G1_F02_N<6> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<7>   	SX_RX_G1_F02_N<7> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<8>   	SX_RX_G1_F02_N<8> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<9>   	SX_RX_G1_F02_N<9> - @lasp_lib.LASP                          	 76A4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<10>  	SX_RX_G1_F02_N<10> - @lasp_lib.LASP                         	 76A4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_N<11>  	SX_RX_G1_F02_N<11> - @lasp_lib.LASP                         	 76A4                         
                    	RX_G1_F02_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<0>   	SX_RX_G1_F02_P<0> - @lasp_lib.LASP                          	 76C4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<0..11>	SX_RX_G1_F02_P<0..11> - @lasp_lib.LASP                      	 74C6                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<1>   	SX_RX_G1_F02_P<1> - @lasp_lib.LASP                          	 76C4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<2>   	SX_RX_G1_F02_P<2> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<3>   	SX_RX_G1_F02_P<3> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<4>   	SX_RX_G1_F02_P<4> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<5>   	SX_RX_G1_F02_P<5> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<6>   	SX_RX_G1_F02_P<6> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<7>   	SX_RX_G1_F02_P<7> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<8>   	SX_RX_G1_F02_P<8> - @lasp_lib.LASP                          	 76B4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<9>   	SX_RX_G1_F02_P<9> - @lasp_lib.LASP                          	 76A4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<10>  	SX_RX_G1_F02_P<10> - @lasp_lib.LASP                         	 76A4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_P<11>  	SX_RX_G1_F02_P<11> - @lasp_lib.LASP                         	 76A4                         
                    	RX_G1_F02_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132D1>                       
SX_RX_G1_F02_PRESENTL	SX_RX_G1_F02_PRESENTL - @lasp_lib.LASP                      	 74C6 79B6                    
                    	RX_FFLY_GROUP1_F02_PRESENTL - @lasp_lib.FIREFLY(i7_page13)  	 129C3>                       
SX_RX_G1_F02_RESETL 	SX_RX_G1_F02_RESETL - @lasp_lib.LASP                        	 74C6 79B6                    
                    	RX_FFLY_GROUP1_F02_RESETL - @lasp_lib.FIREFLY(i7_page13)    	 129C3<                       
SX_RX_G1_F02_SELECTL	SX_RX_G1_F02_SELECTL - @lasp_lib.LASP                       	 74C6 79B6                    
                    	RX_FFLY_GROUP1_F02_SELECTL - @lasp_lib.FIREFLY(i7_page13)   	 129C3<                       
SX_RX_G1_F03_INTL   	SX_RX_G1_F03_INTL - @lasp_lib.LASP                          	 74B6 79C6                    
                    	RX_FFLY_GROUP1_F03_INTL - @lasp_lib.FIREFLY(i7_page13)      	 129B6>                       
SX_RX_G1_F03_N<0>   	SX_RX_G1_F03_N<0> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<0..11>	SX_RX_G1_F03_N<0..11> - @lasp_lib.LASP                      	 74B6                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<1>   	SX_RX_G1_F03_N<1> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<2>   	SX_RX_G1_F03_N<2> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<3>   	SX_RX_G1_F03_N<3> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<4>   	SX_RX_G1_F03_N<4> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<5>   	SX_RX_G1_F03_N<5> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<6>   	SX_RX_G1_F03_N<6> - @lasp_lib.LASP                          	 76B3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<7>   	SX_RX_G1_F03_N<7> - @lasp_lib.LASP                          	 76B3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<8>   	SX_RX_G1_F03_N<8> - @lasp_lib.LASP                          	 76B3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<9>   	SX_RX_G1_F03_N<9> - @lasp_lib.LASP                          	 76B3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<10>  	SX_RX_G1_F03_N<10> - @lasp_lib.LASP                         	 76B3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_N<11>  	SX_RX_G1_F03_N<11> - @lasp_lib.LASP                         	 76B3                         
                    	RX_G1_F03_N<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<0>   	SX_RX_G1_F03_P<0> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<0..11>	SX_RX_G1_F03_P<0..11> - @lasp_lib.LASP                      	 74B6                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<1>   	SX_RX_G1_F03_P<1> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<2>   	SX_RX_G1_F03_P<2> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<3>   	SX_RX_G1_F03_P<3> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<4>   	SX_RX_G1_F03_P<4> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<5>   	SX_RX_G1_F03_P<5> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
SX_RX_G1_F03_P<6>   	SX_RX_G1_F03_P<6> - @lasp_lib.LASP                          	 76C3                         
                    	RX_G1_F03_P<0..11> - @lasp_lib.FIREFLY(i7_page13)           	 132B4>                       
